name,author,narrator,releasedate,language,price,rating_stars,n_ratings,hours,mins,time_mins
Opium,MartinBooth,MartinBooth,2019-09-04,English,8.44,,2.0,13,17,797
The Doctrine of Repentance,ThomasWatson,ThomasWatson,2015-06-11,English,7.02,,1.0,4,6,246
A Troublesome Inheritance,NicholasWade,NicholasWade,2014-06-05,English,9.05,,1.0,10,48,648
How to Win an Argument,"MarcusTulliusCicero,JamesMay","MarcusTulliusCicero,JamesMay",2016-09-27,English,6.01,,2.0,3,3,183
The Age of Reason (AmazonClassics Edition),ThomasPaine,ThomasPaine,2019-08-27,English,10.04,,1.0,7,46,466
An Underground Education,RichardZacks,RichardZacks,2020-11-02,English,8.44,,1.0,17,27,1047
Culture and Imperialism,EdwardSaid,EdwardSaid,2011-02-16,English,16.06,,1.0,19,59,1199
The War that Ended Peace,MargaretMacMillan,MargaretMacMillan,2013-10-17,English,13.66,,1.0,31,35,1895
Answers to Questions You've Never Asked,JoesphPisente,JoesphPisente,2018-06-19,English,8.42,3.5,3.0,5,39,339
The Richest Man in Babylon,GeorgeS.Clason,GeorgeS.Clason,2016-01-21,English,6.01,,2.0,4,8,248
Almost Human,"LeeBerger,JohnHawks","LeeBerger,JohnHawks",2018-12-25,English,9.84,4.5,3.0,6,34,394
The Worst Journey in the World,ApsleyCherry-Garrard,ApsleyCherry-Garrard,2004-04-29,English,11.26,4.5,3.0,20,6,1206
Meditations on First Philosophy,RenéDescartes,RenéDescartes,2019-01-19,English,4.0,,1.0,2,50,170
If History Has Taught Us Anything,FarhatNasreen,FarhatNasreen,2019-06-11,English,3.97,4.5,2.0,6,15,375
"Marriage, a History",StephanieCoontz,StephanieCoontz,2016-05-27,English,12.04,4.5,2.0,15,32,932
A People’s History of the World,ChrisHarman,ChrisHarman,2017-08-29,English,16.06,,2.0,29,44,1784
The Prophet,KhalilGibrán,KhalilGibrán,2019-04-18,English,1.12,,2.0,1,43,103
How History Gets Things Wrong,AlexRosenberg,AlexRosenberg,2019-04-16,English,12.06,4.5,2.0,10,41,641
The Holy Blood and The Holy Grail,"MichaelBaigent,RichardLeigh,HenryLincoln","MichaelBaigent,RichardLeigh,HenryLincoln",2006-10-05,English,4.92,4.5,3.0,9,36,576
Poached,RachelLoveNuwer,RachelLoveNuwer,2018-09-25,English,8.44,,1.0,16,33,993
The Frontiers of Knowledge,A.C.Grayling,A.C.Grayling,2021-06-05,English,10.66,,2.0,13,43,823
Fake History,OttoEnglish,OttoEnglish,2021-10-06,English,8.65,,1.0,11,37,697
The World,RichardHaass,RichardHaass,2020-12-05,English,12.06,,14.0,10,24,624
The Problem of Increasing Human Energy,NikolaTesla,NikolaTesla,2018-02-27,English,4.5,4.5,2.0,2,42,162
The Secret of the Ages,RobertCollier,RobertCollier,2015-04-28,English,10.03,,3.0,9,3,543
The Prince,NiccolòMachiavelli,NiccolòMachiavelli,1999-12-16,English,6.01,,1.0,3,13,193
A Short History of the World,ChristopherLascelles,ChristopherLascelles,2016-09-27,English,8.02,,1.0,7,20,440
China,iMinds,iMinds,2009-10-16,English,0.78,,1.0,0,5,5
Cuba Libre!,TonyPerrottet,TonyPerrottet,2019-01-22,English,13.57,,10.0,12,42,762
The Book That Made Your World,VishalMangalwadi,VishalMangalwadi,2019-06-25,English,8.4,,1.0,14,15,855
The Art of Writing and the Gifts of Writers,C.S.Lewis,C.S.Lewis,2013-09-25,English,4.2,,1.0,4,7,247
How to Live on 24 Hours a Day,"ArnoldBennett,JoelFotinos","ArnoldBennett,JoelFotinos",2020-04-02,English,0.4,,1.0,1,44,104
Twilight of the Gods,ErichvonDäniken,ErichvonDäniken,2011-03-28,English,8.02,4.5,3.0,6,1,361
Rivers of Power,LaurenceC.Smith,LaurenceC.Smith,2020-04-21,English,10.66,,1.0,10,5,605
Origins,LewisDartnell,LewisDartnell,2019-01-31,English,8.2,4.5,5.0,9,9,549
The Boundless Sea,DavidAbulafia,DavidAbulafia,2019-12-19,English,10.66,,1.0,41,2,2462
The History of Physics,J.L.Heilbron,J.L.Heilbron,2018-10-16,English,8.02,,1.0,5,5,305
Wages of Rebellion,ChrisHedges,ChrisHedges,2015-06-22,English,10.03,,1.0,9,6,546
A Higher Call,"AdamMakos,LarryAlexander","AdamMakos,LarryAlexander",2013-01-08,English,8.98,,5.0,13,21,801
The Boundless Sea,DavidAbulafia,DavidAbulafia,2021-05-01,English,14.06,,1.0,41,8,2468
Milk!,MarkKurlansky,MarkKurlansky,2018-08-05,English,10.48,3.5,4.0,12,38,758
Mosquito,"MichaelD'Antonio,AndrewSpielman","MichaelD'Antonio,AndrewSpielman",2020-05-19,English,7.03,,1.0,7,14,434
Orthodox Christianity,A.EdwardSiecienski,A.EdwardSiecienski,2020-04-14,English,5.63,,1.0,3,28,208
Race and Reunion,DavidW.Blight,DavidW.Blight,2019-01-30,English,16.06,,1.0,20,27,1227
The Book of Tea,KazukoOkakura,KazukoOkakura,2012-01-25,English,2.8,,2.0,2,14,134
Russia in Revolution,S.A.Smith,S.A.Smith,2018-10-04,English,12.04,,1.0,16,17,977
In the Heart of the Sea,NathanielPhilbrick,NathanielPhilbrick,2015-11-11,English,15.94,,1.0,10,10,610
Pirate Hunters,RobertKurson,RobertKurson,2015-06-16,English,12.06,,2.0,8,24,504
Alcohol,RodPhillips,RodPhillips,2017-09-13,English,12.04,,2.0,15,28,928
You Say You Want a Revolution?,DanielChirot,DanielChirot,2020-03-03,English,7.03,,3.0,6,16,376
A Brief Natural History of Civilization,MarkBertness,MarkBertness,2020-04-21,English,9.28,,1.0,9,9,549
The Fear Paradox,FrankFaranda,FrankFaranda,2020-05-21,English,6.83,,1.0,4,35,275
The Subjection of Women,JohnStuartMill,JohnStuartMill,2020-04-17,English,7.03,,1.0,4,50,290
The Sum of the People,AndrewWhitby,AndrewWhitby,2020-10-04,English,6.0,,2.0,11,10,670
Groundwork of the Metaphysics of Morals,ImmanuelKant,ImmanuelKant,2020-10-01,English,2.81,,1.0,3,24,204
Heretics,G.K.Chesterton,G.K.Chesterton,2019-09-25,English,18.29,,1.0,7,22,442
How Carriers Fought,LarsCelander,LarsCelander,2019-08-13,English,8.44,,1.0,11,23,683
Capitalism and the Jews,JerryZ.Muller,JerryZ.Muller,2012-08-05,English,8.02,,1.0,5,32,332
The Invisible Hook,PeterT.Leeson,PeterT.Leeson,2009-04-09,English,8.02,,1.0,7,41,461
Railroaded,RichardWhite,RichardWhite,2018-05-06,English,16.06,,1.0,23,5,1385
Conflict,RobertLeckie,RobertLeckie,2013-11-18,English,12.04,,1.0,14,26,866
A History of China,HildaHookham,HildaHookham,2008-07-10,English,10.03,,2.0,11,29,689
One Long Night,AndreaPitzer,AndreaPitzer,2017-11-10,English,6.0,,1.0,14,8,848
Transcendence,GaiaVince,GaiaVince,2020-01-21,English,11.26,,1.0,11,27,687
Enola Gay,"GordonThomas,MaxMorgan-Witts","GordonThomas,MaxMorgan-Witts",2020-04-02,English,8.44,,1.0,10,0,600
COVID-19,"DylanHoward,DominicUtton","DylanHoward,DominicUtton",2020-12-15,English,8.42,,1.0,6,30,390
Acres of Diamonds,RussellH.Conwell,RussellH.Conwell,2020-01-31,English,2.81,,1.0,1,22,82
The Anti-Capitalistic Mentality,LudwigVonMises,LudwigVonMises,2020-02-28,English,3.94,,1.0,3,13,193
"Imperial Germany and War, 1871-1918","DanielJ.Hughes,RichardL.DiNardo","DanielJ.Hughes,RichardL.DiNardo",2019-08-27,English,9.84,,1.0,21,6,1266
Soap Making Business Startup,SuzanneCarpenter,SuzanneCarpenter,2017-04-21,English,6.01,,2.0,3,5,185
Senbazuru,MichaelJamesWong,MichaelJamesWong,2021-05-27,English,7.38,,1.0,3,55,235
The Home Distiller's Workbook,JeffKing,JeffKing,2012-09-19,English,3.22,,1.0,1,38,98
Why We Make Things and Why It Matters,PeterKorn,PeterKorn,2014-03-28,English,7.02,,1.0,5,37,337
