name,author,narrator,releasedate,language,price,rating_stars,n_ratings,hours,mins,time_mins
Geronimo Stilton #11 & #12,GeronimoStilton,GeronimoStilton,2008-04-08,English,5.62,,34.0,2,20,140
The Burning Maze,RickRiordan,RickRiordan,2018-01-05,English,9.84,4.5,41.0,13,8,788
The Deep End,JeffKinney,JeffKinney,2020-06-11,English,4.92,4.5,38.0,2,3,123
Daughter of the Deep,RickRiordan,RickRiordan,2021-05-10,English,7.38,4.5,12.0,11,16,676
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,RickRiordan,2010-01-13,English,9.84,4.5,181.0,10,0,600
The Hunger Games: Special Edition,SuzanneCollins,SuzanneCollins,2018-10-30,English,7.87,,72.0,10,35,635
Quest for the Diamond Sword,WinterMorgan,WinterMorgan,2014-11-25,English,2.8,,11.0,2,23,143
The Dark Prophecy,RickRiordan,RickRiordan,2017-02-05,English,9.84,,50.0,12,32,752
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.07,,5.0,10,56,656
The Tyrant’s Tomb,RickRiordan,RickRiordan,2019-09-24,English,9.84,,58.0,13,22,802
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,RickRiordan,2010-01-14,English,9.84,4.5,130.0,8,48,528
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,2011-08-24,English,14.47,,6.0,5,23,323
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,2011-09-27,English,14.47,,7.0,6,1,361
Magnus Chase and the Ship of the Dead,RickRiordan,RickRiordan,2017-03-10,English,9.84,,41.0,12,58,778
Northern Lights,PhilipPullman,PhilipPullman,2021-06-24,English,13.12,,2.0,11,55,715
Geronimo Stilton #13 and #14,GeronimoStilton,GeronimoStilton,2008-08-02,English,5.6,4.5,33.0,2,25,145
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,2004-12-26,English,14.47,,7.0,5,4,304
Exile,ShannonMessenger,ShannonMessenger,2018-06-11,English,10.03,,20.0,14,41,881
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.07,,11.0,10,18,618
Neverseen,ShannonMessenger,ShannonMessenger,2018-06-11,English,12.04,,13.0,16,42,1002
The Tower of Nero,RickRiordan,RickRiordan,2020-06-10,English,7.38,,79.0,12,12,732
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,ChristopherPaolini,2009-04-14,English,11.48,4.5,47.0,23,29,1409
Artemis Fowl,EoinColfer,EoinColfer,2013-11-04,English,8.2,,27.0,6,46,406
Geronimo Stilton 22 & 24,GeronimoStilton,GeronimoStilton,2011-01-02,English,5.63,4.5,25.0,2,37,157
Percy Jackson and the Battle of the Labyrinth,RickRiordan,RickRiordan,2010-01-21,English,9.84,,101.0,10,32,632
Winnie-the-Pooh,A.A.Milne,A.A.Milne,2003-12-28,English,5.62,,15.0,2,46,166
Magic Tree House Collection: Books 25-32,MaryPopeOsborne,MaryPopeOsborne,2020-01-09,English,15.07,,3.0,7,9,429
Geronimo Stilton #20 and #21,GeronimoStilton,GeronimoStilton,2010-01-10,English,5.63,,18.0,2,32,152
The Red Pyramid,RickRiordan,RickRiordan,2013-01-24,English,9.84,4.5,37.0,13,44,824
Mystery of the Griefer's Mark,WinterMorgan,WinterMorgan,2014-11-25,English,2.8,,9.0,1,53,113
Geronimo Stilton #17,GeronimoStilton,GeronimoStilton,2009-07-13,English,5.62,,8.0,2,28,148
The House at Pooh Corner,A.A.Milne,A.A.Milne,2005-05-04,English,4.49,,5.0,3,12,192
Mission Unstoppable,DanGutman,DanGutman,2013-01-08,English,8.42,,8.0,6,8,368
Darkness of Dragons,TuiT.Sutherland,TuiT.Sutherland,2017-01-08,English,7.87,,8.0,10,26,626
The Adventures of Rusty,RuskinBond,RuskinBond,2018-01-11,Hindi,3.41,4.5,10.0,5,41,341
Geronimo Stilton #15 and #16,GeronimoStilton,GeronimoStilton,2008-08-02,English,5.6,,28.0,2,43,163
The Lost Heir,TuiT.Sutherland,TuiT.Sutherland,2016-04-02,English,6.9,,9.0,7,23,443
Everblaze,ShannonMessenger,ShannonMessenger,2018-06-11,English,10.03,,18.0,14,39,879
Treasure Hunters in Trouble,WinterMorgan,WinterMorgan,2015-03-31,English,8.02,,7.0,1,58,118
Lodestar,ShannonMessenger,ShannonMessenger,2018-06-11,English,12.04,,19.0,16,31,991
Curse of the Arctic Star,CarolynKeene,CarolynKeene,2014-12-28,English,3.66,4.5,25.0,3,35,215
The Ghost of Grey Fox Inn,CarolynKeene,CarolynKeene,2017-03-20,English,3.66,,11.0,3,19,199
Rowley Jefferson's Awesome Friendly Adventure,JeffKinney,JeffKinney,2020-04-08,English,4.92,,16.0,1,31,91
Flashback,ShannonMessenger,ShannonMessenger,2018-11-12,English,14.04,,12.0,23,9,1389
Secret of the Red Arrow,FranklinW.Dixon,FranklinW.Dixon,2015-04-11,English,3.66,4.5,16.0,3,33,213
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,RickRiordan,2010-01-13,English,7.38,,4.0,3,51,231
Clash of the Creepers,WinterMorgan,WinterMorgan,2015-07-07,English,2.8,,10.0,2,1,121
The Skeletons Strike Back,WinterMorgan,WinterMorgan,2015-07-07,English,2.8,,7.0,2,1,121
Dragonslayer,TuiT.Sutherland,TuiT.Sutherland,2020-03-03,English,7.87,,17.0,12,44,764
The Dark Secret,TuiT.Sutherland,TuiT.Sutherland,2016-01-07,English,6.9,,9.0,7,35,455
The Gruffalo's Child,"JuliaDonaldson,AxelScheffler","JuliaDonaldson,AxelScheffler",2010-08-19,English,3.88,4.5,4.0,0,22,22
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.07,,8.0,13,24,804
Keys to the Demon Prison,BrandonMull,BrandonMull,2013-01-08,English,6.19,,1.0,17,37,1057
Legacy,ShannonMessenger,ShannonMessenger,2019-05-11,English,14.04,,14.0,22,55,1375
The Endermen Invasion,WinterMorgan,WinterMorgan,2015-05-26,English,2.8,,5.0,2,2,122
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,DavPilkey,DavPilkey,2021-02-11,English,5.34,,1.0,2,10,130
You Only Die Twice,DanGutman,DanGutman,2013-09-17,English,7.02,,5.0,5,49,349
From Texas with Love,DanGutman,DanGutman,2014-01-28,English,8.42,,6.0,5,27,327
The Dragonet Prophecy,TuiT.Sutherland,TuiT.Sutherland,2012-01-07,English,9.84,,11.0,8,32,512
Dangerous Gift,TuiT.Sutherland,TuiT.Sutherland,2021-02-03,English,5.34,,9.0,7,51,471
"The 39 Clues, Book 6",JudeWatson,JudeWatson,2009-06-11,English,5.62,,4.0,5,10,310
Never Say Genius,DanGutman,DanGutman,2013-08-23,English,7.02,,8.0,5,27,327
The Madman of Black Bear Mountain,FranklinW.Dixon,FranklinW.Dixon,2016-07-06,English,3.66,,3.0,2,54,174
Tiger Honor,YoonHaLee,YoonHaLee,2022-04-01,English,7.03,,1.0,7,36,456
The Amulet of Samarkand,JonathanStroud,JonathanStroud,2007-01-02,English,8.2,,17.0,9,30,570
Rowley Jefferson's Awesome Friendly Spooky Stories,JeffKinney,JeffKinney,2021-03-16,English,4.92,3.5,7.0,1,29,89
Lost in the End,WinterMorgan,WinterMorgan,2016-06-04,English,2.8,,5.0,1,43,103
Trouble Island,FranklinW.Dixon,FranklinW.Dixon,2021-01-06,English,3.66,,2.0,4,24,264
Riverboat Roulette,CarolynKeene,CarolynKeene,2017-03-20,English,3.66,,4.0,2,46,166
Discoveries in the Overworld,WinterMorgan,WinterMorgan,2016-06-04,English,2.8,,4.0,1,49,109
The Last Human,LeeBacon,LeeBacon,2019-03-10,English,11.39,,7.0,6,42,402
An Explorer's Guide to the Nether,WinterMorgan,WinterMorgan,2016-03-30,English,2.8,,4.0,1,50,110
The Midnight Gang,DavidWalliams,DavidWalliams,2016-11-15,English,3.86,4.5,3.0,6,9,369
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,DevinHunter,DevinHunter,2018-10-30,English,7.02,,2.0,2,11,131
A Boy Called Christmas,MattHaig,MattHaig,2016-03-11,English,6.83,4.5,21.0,4,32,272
"The 39 Clues, Book 4",JudeWatson,JudeWatson,2009-06-23,English,5.62,,6.0,4,37,277
"The 39 Clues, Book 3",PeterLerangis,PeterLerangis,2009-03-03,English,5.62,,9.0,3,51,231
The Disappearance,FranklinW.Dixon,FranklinW.Dixon,2019-05-14,English,3.66,,1.0,3,50,230
Billionaire Boy,DavidWalliams,DavidWalliams,2011-09-06,English,3.19,,1.0,3,8,188
The Blue Lady of Coffin Hall,CarolynKeene,CarolynKeene,2022-04-01,English,3.66,,2.0,3,52,232
Unlocked,ShannonMessenger,ShannonMessenger,2021-04-06,English,10.03,,5.0,16,2,962
The Vanishing Statue,CarolynKeene,CarolynKeene,2020-06-16,English,3.66,,6.0,4,5,245
Eye of the Earthquake Dragon,TraceyWest,TraceyWest,2020-04-08,English,1.97,,1.0,0,45,45
Peril at Granite Peak,FranklinW.Dixon,FranklinW.Dixon,2016-01-21,English,3.66,,3.0,3,30,210
The Disappearance of Emily Downs,C.J.Redwine,C.J.Redwine,2021-09-30,English,12.04,,1.0,4,56,296
Into Thin Air,FranklinW.Dixon,FranklinW.Dixon,2016-01-21,English,3.66,,10.0,2,39,159
Once upon a Thriller,CarolynKeene,CarolynKeene,2015-09-24,English,3.66,,12.0,2,21,141
The Magician's Nephew,C.S.Lewis,C.S.Lewis,2005-08-29,English,3.64,,7.0,3,55,235
The Snail and the Whale,JuliaDonaldson,JuliaDonaldson,2008-07-10,English,3.88,,5.0,0,23,23
Tigers for Dinner,RuskinBond,RuskinBond,2017-01-01,English,3.41,4.5,20.0,0,39,39
The Hidden Kingdom,TuiT.Sutherland,TuiT.Sutherland,2016-01-07,English,6.9,,9.0,7,34,454
Eagle Strike,AnthonyHorowitz,AnthonyHorowitz,2021-05-20,English,6.83,,2.0,6,57,417
Mystery on the Mayhem Express,FranklinW.Dixon,FranklinW.Dixon,2021-06-22,English,3.66,,1.0,3,58,238
Tunnel of Secrets,FranklinW.Dixon,FranklinW.Dixon,2015-02-11,English,3.66,,3.0,3,3,183
"The 39 Clues: Unstoppable, Book 3",NatalieStandiford,NatalieStandiford,2014-01-05,English,4.92,4.5,2.0,4,49,289
Treasure Island,RobertLouisStevenson,RobertLouisStevenson,2019-06-09,English,0.38,,4.0,6,44,404
Minecraft: The Dragon,NickyDrayden,NickyDrayden,2021-06-07,English,12.06,,1.0,6,51,411
Escape from Falaise,JohnFlanagan,JohnFlanagan,2021-01-12,English,9.56,4.5,2.0,7,37,457
Trapped in the Overworld,WinterMorgan,WinterMorgan,2016-06-30,English,2.8,,3.0,1,54,114
The 143-Storey Treehouse,"AndyGriffiths,TerryDenton","AndyGriffiths,TerryDenton",2021-10-19,English,3.88,,1.0,1,40,100
Poison Jungle,TuiT.Sutherland,TuiT.Sutherland,2019-07-30,English,7.87,,10.0,7,25,445
39 Clues: Cahills vs. Vespers,GordonKorman,GordonKorman,2011-08-30,English,7.03,,5.0,5,22,322
The Last Kids on Earth: June's Wild Flight,"MaxBrallier,DouglasHolgate","MaxBrallier,DouglasHolgate",2020-07-04,English,9.05,,3.0,3,16,196
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,DavPilkey,DavPilkey,2021-02-04,English,5.9,,5.0,2,39,159
Star Wars: The High Republic: A Test of Courage,JustinaIreland,JustinaIreland,2021-05-01,English,9.05,,2.0,4,34,274
The Red Slippers,CarolynKeene,CarolynKeene,2015-12-24,English,3.66,,9.0,2,53,173
Captain Underpants and the Preposterous Plight of the Purple Potty People,DavPilkey,DavPilkey,2021-01-19,English,3.1,,1.0,1,15,75
The Magician's Secret,CarolynKeene,CarolynKeene,2015-12-24,English,3.66,4.5,7.0,2,42,162
The Case of the Bizarre Bouquets,NancySpringer,NancySpringer,2008-11-04,English,7.31,4.5,3.0,3,39,219
The Phantom of Nantucket,CarolynKeene,CarolynKeene,2015-12-24,English,3.66,,5.0,3,16,196
The Swamp Robber,PaulHutchens,PaulHutchens,2018-09-18,English,2.81,,1.0,2,44,164
The Magic Finger,RoaldDahl,RoaldDahl,2014-11-09,English,7.38,4.5,14.0,0,26,26
The Adventures of Captain Underpants,DavPilkey,DavPilkey,2018-05-22,English,3.1,4.5,13.0,1,0,60
Secret at Mystic Lake,CarolynKeene,CarolynKeene,2015-09-28,English,3.66,4.5,14.0,2,36,156
"I Survived the Sinking of the Titanic, 1912",LaurenTarshis,LaurenTarshis,2016-03-29,English,2.24,,1.0,1,16,76
Showdown at Widow Creek,FranklinW.Dixon,FranklinW.Dixon,2016-02-02,English,3.66,,3.0,2,46,166
Case of the Missing Marquess,NancySpringer,NancySpringer,2008-10-22,English,8.71,4.5,3.0,4,31,271
Nightshade,AnthonyHorowitz,AnthonyHorowitz,2020-05-28,English,7.74,4.5,11.0,10,7,607
Mystery of the Phantom Heist,FranklinW.Dixon,FranklinW.Dixon,2015-02-11,English,3.66,,6.0,2,59,179
The Golem's Eye,JonathanStroud,JonathanStroud,2007-01-06,English,8.2,,7.0,9,36,576
Howl of the Wind Dragon,TraceyWest,TraceyWest,2021-02-11,English,3.1,,1.0,0,47,47
Pony,R.J.Palacio,R.J.Palacio,2021-09-28,English,7.38,,1.0,7,13,433
Sparrow Rising,JessicaKhoury,JessicaKhoury,2021-03-08,English,7.03,,1.0,8,11,491
The Beatryce Prophecy,KateDiCamillo,KateDiCamillo,2021-09-28,English,12.06,,1.0,4,19,259
The Unadoptables,HanaTooke,HanaTooke,2020-07-23,English,7.38,,1.0,9,27,567
The Professor and the Puzzle,CarolynKeene,CarolynKeene,2017-01-09,English,3.66,,7.0,3,41,221
"The 39 Clues, Book 5",PatrickCarman,PatrickCarman,2009-11-08,English,5.62,,8.0,4,0,240
Scorpia,AnthonyHorowitz,AnthonyHorowitz,2020-01-30,English,7.74,4.5,2.0,8,26,506
A Con Artist in Paris,FranklinW.Dixon,FranklinW.Dixon,2017-05-09,English,3.66,4.5,4.0,3,0,180
Tunnel of Bones,VictoriaSchwab,VictoriaSchwab,2019-03-09,English,5.9,4.5,8.0,5,5,305
The 13-Storey Treehouse,AndyGriffiths,AndyGriffiths,2017-10-05,English,3.88,,1.0,1,36,96
"The 39 Clues, Book 9",LindaSuePark,LindaSuePark,2010-05-24,English,5.63,,7.0,4,45,285
Kid Normal and the Rogue Heroes,"ChrisSmith,GregJames","ChrisSmith,GregJames",2018-06-12,English,6.83,,5.0,6,18,378
Treasure of the Gold Dragon,TraceyWest,TraceyWest,2020-04-08,English,1.97,,1.0,0,45,45
"The 1,000-Year-Old Boy",RossWelford,RossWelford,2018-11-01,English,3.86,4.5,11.0,7,24,444
Strangers on a Train,CarolynKeene,CarolynKeene,2014-12-28,English,3.66,4.5,17.0,3,19,199
Darkstalker,TuiT.Sutherland,TuiT.Sutherland,2016-01-07,English,7.87,,11.0,9,50,590
Dinosaurs Before Dark,MaryPopeOsborne,MaryPopeOsborne,2006-08-22,English,3.61,,1.0,0,41,41
The Monkey King,ShobhaViswanath,ShobhaViswanath,2020-06-03,English,3.41,,4.0,0,27,27
Getting Granny’s Glasses,RuskinBond,RuskinBond,2019-11-29,English,2.4,,4.0,0,19,19
Where the Red Fern Grows,WilsonRawls,WilsonRawls,2003-10-24,English,12.06,4.5,7.0,6,56,416
"The 39 Clues, Book 10",MargaretPetersonHaddix,MargaretPetersonHaddix,2010-09-23,English,5.63,,7.0,7,8,428
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2",DavPilkey,DavPilkey,2020-03-11,English,3.1,,1.0,1,23,83
The Carpet People,TerryPratchett,TerryPratchett,2021-04-22,English,7.38,,1.0,5,2,302
Clash at Fatal Fields,DevinHunter,DevinHunter,2018-08-28,English,7.02,,1.0,2,13,133
Deception on the Set,FranklinW.Dixon,FranklinW.Dixon,2016-05-23,English,3.66,,4.0,2,41,161
A Script for Danger,CarolynKeene,CarolynKeene,2015-09-22,English,3.66,4.5,5.0,2,56,176
The Battle of Bayport,FranklinW.Dixon,FranklinW.Dixon,2016-07-03,English,3.66,,6.0,3,30,210
Moon Rising,TuiT.Sutherland,TuiT.Sutherland,2016-08-29,English,6.9,,6.0,7,30,450
Captain Underpants and the Attack of the Talking Toilets,DavPilkey,DavPilkey,2018-06-26,English,3.1,,5.0,0,59,59
Holes,LouisSachar,LouisSachar,2016-05-24,English,5.0,4.5,15.0,4,30,270
"The 39 Clues, Book 1",RickRiordan,RickRiordan,2008-08-29,English,5.62,4.5,11.0,5,11,311
Skeleton Key,AnthonyHorowitz,AnthonyHorowitz,2020-09-04,English,6.83,,3.0,6,59,419
Demon Dentist,DavidWalliams,DavidWalliams,2013-03-10,English,3.18,,3.0,4,46,286
Hidden Pictures,CarolynKeene,CarolynKeene,2020-01-14,English,3.66,4.5,9.0,3,12,192
The Lost Continent,TuiT.Sutherland,TuiT.Sutherland,2018-06-26,English,7.87,4.5,4.0,8,23,503
Unicorn Academy: Ariana and Whisper,JulieSykes,JulieSykes,2020-08-10,English,3.19,,1.0,1,36,96
A Long Walk to Water,LindaSuePark,LindaSuePark,2013-07-11,English,9.56,,3.0,2,41,161
Talons of Power,TuiT.Sutherland,TuiT.Sutherland,2017-01-01,English,7.03,,7.0,7,52,472
Bound for Danger,FranklinW.Dixon,FranklinW.Dixon,2017-03-20,English,3.66,,4.0,3,39,219
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1: The Night of the Nasty Nostril Nuggets",DavPilkey,DavPilkey,2018-10-16,English,3.1,,5.0,1,10,70
City of Thieves,AlexLondon,AlexLondon,2021-09-21,English,7.03,,1.0,6,20,380
Mystery of the Midnight Rider,CarolynKeene,CarolynKeene,2014-12-28,English,3.66,,8.0,3,13,193
The Smoke Thieves,SallyGreen,SallyGreen,2018-03-05,English,9.84,,1.0,13,18,798
The Haunting on Heliotrope Lane,CarolynKeene,CarolynKeene,2018-02-01,English,3.66,,9.0,3,3,183
The Stolen Show,CarolynKeene,CarolynKeene,2019-09-24,English,3.66,,5.0,3,19,199
Minecraft: The Crash,TraceyBaptiste,TraceyBaptiste,2018-12-07,English,8.2,,5.0,7,18,438
Scorpia Rising,AnthonyHorowitz,AnthonyHorowitz,2020-09-04,English,7.74,,2.0,9,26,566
Three Tales of My Father's Dragon,RuthStilesGannett,RuthStilesGannett,2016-08-16,English,12.06,,2.0,2,24,144
Captain Underpants and the Perilous Plot of Professor Poopypants,DavPilkey,DavPilkey,2018-09-18,English,3.1,,4.0,1,3,63
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,DavPilkey,DavPilkey,2018-07-31,English,3.1,,5.0,0,55,55
Famous Mistakes,CarolynKeene,CarolynKeene,2019-01-15,English,3.66,,5.0,3,5,185
Minecraft: The Lost Journals,MurLafferty,MurLafferty,2019-11-07,English,10.66,4.5,7.0,7,9,429
The Witch's Boy,KellyBarnhill,KellyBarnhill,2020-06-25,English,15.94,,1.0,9,58,598
The Hive Queen,TuiT.Sutherland,TuiT.Sutherland,2018-12-26,English,7.03,,8.0,6,53,413
Nightfall,ShannonMessenger,ShannonMessenger,2018-06-11,English,14.04,,14.0,20,52,1252
The Curse of the Ancient Emerald,FranklinW.Dixon,FranklinW.Dixon,2016-05-23,English,3.66,,4.0,2,53,173
The Last Kids on Earth and the Skeleton Road,"MaxBrallier,DouglasHolgate-illustrator","MaxBrallier,DouglasHolgate-illustrator",2020-09-15,English,9.05,,1.0,4,22,262
Doctor Who: Thirteen Doctors 13 Stories,"NaomiAlderman,MalorieBlackman,HollyBlack,","NaomiAlderman,MalorieBlackman,HollyBlack,",2019-07-03,English,9.84,,1.0,14,17,857
The Gray Hunter's Revenge,FranklinW.Dixon,FranklinW.Dixon,2018-09-10,English,3.66,,3.0,3,16,196
Magisterium: The Iron Trial,"CassandraClare,HollyBlack","CassandraClare,HollyBlack",2015-10-29,English,9.02,4.5,6.0,10,37,637
Mr. Lemoncello's Great Library Race,ChrisGrabenstein,ChrisGrabenstein,2017-10-10,English,12.06,,4.0,6,46,406
The Fourth Closet,"ScottCawthon,KiraBreed-Wrisley","ScottCawthon,KiraBreed-Wrisley",2018-06-26,English,7.03,,2.0,10,8,608
Power of the Fire Dragon,TraceyWest,TraceyWest,2020-02-06,English,1.97,,1.0,0,47,47
Magisterium: The Golden Tower,"CassandraClare,HollyBlack","CassandraClare,HollyBlack",2018-06-09,English,8.2,,2.0,7,18,438
The Troll,JuliaDonaldson,JuliaDonaldson,2010-03-09,English,3.88,,2.0,0,31,31
Lockwood & Co.,JonathanStroud,JonathanStroud,2014-09-25,English,9.02,,3.0,11,37,697
Ben Braver and the Vortex of Doom,MarcusEmerson,MarcusEmerson,2020-08-25,English,5.63,,1.0,4,22,262
The Magic Misfits: The Second Story,NeilPatrickHarris,NeilPatrickHarris,2018-09-25,English,7.97,,2.0,5,33,333
Tiger's Curse,ColleenHouck,ColleenHouck,2011-04-05,English,12.04,,1.0,15,41,941
Just William - More William,RichmalCrompton,RichmalCrompton,2009-09-02,English,6.14,,1.0,5,4,304
Public Enemy Number Two,AnthonyHorowitz,AnthonyHorowitz,2008-04-22,English,7.97,,1.0,4,27,267
Mercy Watson #3,KateDiCamillo,KateDiCamillo,2007-08-06,English,2.4,,2.0,0,20,20
A to Z Mysteries: The Zombie Zone,RonRoy,RonRoy,2011-08-03,English,4.82,,1.0,1,1,61
Wizard for Hire,ObertSkye,ObertSkye,2018-06-03,English,9.84,4.5,2.0,9,32,572
The Jungle Book,RudyardKipling,RudyardKipling,2018-05-31,English,7.38,,1.0,5,0,300
LEGO Ninjago: Brick Adventures #1: Brother/Sister Squad,MeredithRusu,MeredithRusu,2018-05-22,English,1.97,,1.0,0,31,31
The Emperor of Nihon-Ja,JohnFlanagan,JohnFlanagan,2012-07-27,English,8.42,,1.0,13,26,806
The Missing Prince,JohnFlanagan,JohnFlanagan,2020-03-11,English,9.56,,2.0,8,39,519
The Star of Kazan,EvaIbbotson,EvaIbbotson,2008-04-29,English,3.88,,1.0,6,25,385
Shoe Wars,LizPichon,LizPichon,2021-04-27,English,12.76,,1.0,5,3,303
"Fablehaven, Book 2",BrandonMull,BrandonMull,2013-05-24,English,5.62,,1.0,11,52,712
Winter Turning,TuiT.Sutherland,TuiT.Sutherland,2017-01-01,English,7.03,4.5,10.0,7,30,450
"The 39 Clues, Book 7",PeterLerangis,PeterLerangis,2010-02-02,English,5.62,,7.0,4,56,296
Trust No One,LindaSuePark,LindaSuePark,2012-04-12,English,7.03,,1.0,4,41,281
Hansel and Gretel,BrothersGrimm,BrothersGrimm,2015-12-17,English,2.24,,1.0,0,17,17
The 39 Clues: Flashpoint,GordonKorman,GordonKorman,2014-01-09,English,4.92,4.5,2.0,5,35,335
Earthquake,RuskinBond,RuskinBond,2019-04-12,English,2.4,,2.0,0,42,42
Stolen Identity,FranklinW.Dixon,FranklinW.Dixon,2018-02-20,English,3.66,,6.0,2,47,167
The 39 Clues,C.AlexanderLondon,C.AlexanderLondon,2015-01-08,English,5.21,,2.0,4,49,289
George's Cosmic Treasure Hunt,"LucyHawking,StephenHawking","LucyHawking,StephenHawking",2009-03-28,English,7.38,,1.0,6,8,368
Magisterium: The Copper Gauntlet,"CassandraClare,HollyBlack","CassandraClare,HollyBlack",2016-10-20,English,8.2,,4.0,8,21,501
Stormspeaker,ChristinaDiazGonzalez,ChristinaDiazGonzalez,2018-01-30,English,5.34,,1.0,4,56,296
Black Beauty,AnnaSewell,AnnaSewell,2011-12-22,English,8.02,,1.0,5,21,321
The Count of Monte Cristo,AlexandreDumas,AlexandreDumas,2000-10-26,English,4.0,,1.0,2,38,158
The Boy Who Dreamed of Dragons,AndyShepherd,AndyShepherd,2020-11-06,English,6.83,,1.0,4,4,244
George and the Blue Moon,"LucyHawking,StephenHawking","LucyHawking,StephenHawking",2017-02-03,English,8.2,4.5,2.0,7,7,427
Escaping Peril,TuiT.Sutherland,TuiT.Sutherland,2016-04-02,English,6.9,,6.0,7,2,422
Rise and Fall,EliotSchrefer,EliotSchrefer,2015-01-01,English,5.9,,1.0,5,10,310
George and the Unbreakable Code,"LucyHawking,StephenHawking","LucyHawking,StephenHawking",2016-07-28,English,8.2,,2.0,6,54,414
George and the Ship of Time,LucyHawking,LucyHawking,2018-03-05,English,8.2,,2.0,7,41,461
Shadows at Predator Reef,FranklinW.Dixon,FranklinW.Dixon,2016-05-23,English,3.66,,8.0,2,53,173
Charlie Cook's Favourite Book,"JuliaDonaldson,AxelScheffler","JuliaDonaldson,AxelScheffler",2008-10-23,English,3.88,,2.0,0,17,17
Ringo & the Yogi,PrasunRoy,PrasunRoy,2019-11-19,English,0.0,,4.0,5,18,318
The Miraculous Journey of Edward Tulane,KateDiCamillo,KateDiCamillo,2006-01-01,English,6.01,4.5,2.0,1,55,115
The Mercy Watson Collection,KateDiCamillo,KateDiCamillo,2006-01-01,English,6.02,,2.0,0,40,40
The Green Ember,S.D.Smith,S.D.Smith,2015-04-02,English,8.02,4.5,3.0,7,55,475
The Burning Tide,JonathanAuxier,JonathanAuxier,2016-09-13,English,5.9,,1.0,4,39,279
My Side of the Mountain,JeanCraigheadGeorge,JeanCraigheadGeorge,2017-05-12,English,9.05,,4.0,4,36,276
Magisterium: The Silver Mask,"CassandraClare,HollyBlack","CassandraClare,HollyBlack",2017-12-10,English,8.2,,4.0,7,14,434
Battle for Loot Lake: An Unofficial Fortnite Adventure Novel,DevinHunter,DevinHunter,2018-09-18,English,7.02,,2.0,2,7,127
The Magic Misfits: The Minor Third,NeilPatrickHarris,NeilPatrickHarris,2019-10-09,English,7.97,,1.0,5,18,318
Hurricane Heroes in Texas,MaryPopeOsborne,MaryPopeOsborne,2018-07-08,English,4.82,,1.0,1,13,73
Attack of the Bayport Beast,FranklinW.Dixon,FranklinW.Dixon,2017-03-20,English,3.66,,4.0,2,38,158
"The 39 Clues, Book 8: The Emperor's Code",GordonKorman,GordonKorman,2010-06-04,English,5.62,,4.0,4,57,297
City of the Plague God,SarwatChadda,SarwatChadda,2021-01-22,English,11.16,4.5,5.0,10,23,623
Spirit Animals,MaggieStiefvater,MaggieStiefvater,2014-01-01,English,5.9,,2.0,5,16,316
Wild Born,BrandonMull,BrandonMull,2013-10-09,English,5.9,4.5,3.0,5,36,336
Point Blanc,AnthonyHorowitz,AnthonyHorowitz,2020-01-30,English,6.83,,6.0,5,40,340
A to Z Mysteries: The Invisible Island,RonRoy,RonRoy,2019-12-08,English,4.82,,1.0,0,55,55
Grandpa's Great Escape,DavidWalliams,DavidWalliams,2015-09-24,English,4.52,,2.0,5,49,349
"Cahills vs. Vespers, Book 6: Day of Doom",DavidBaldacci,DavidBaldacci,2013-05-03,English,7.03,,4.0,6,23,383
The Smartest Kid in the Universe,ChrisGrabenstein,ChrisGrabenstein,2020-01-12,English,10.85,,3.0,5,47,347
The Vanishing Game,FranklinW.Dixon,FranklinW.Dixon,2015-02-11,English,3.66,,6.0,3,7,187
The Sign in the Smoke,CarolynKeene,CarolynKeene,2016-10-05,English,3.66,4.5,7.0,4,31,271
Ark Angel,AnthonyHorowitz,AnthonyHorowitz,2020-01-30,English,7.74,4.5,3.0,8,22,502
Minecraft: The End,CatherynneM.Valente,CatherynneM.Valente,2019-05-12,English,10.66,4.5,6.0,8,11,491
When Did You See Her Last?,LemonySnicket,LemonySnicket,2013-10-18,English,5.0,,1.0,4,22,262
Ratburger,DavidWalliams,DavidWalliams,2012-09-19,English,3.19,,1.0,3,39,219
Against the Tide,TuiT.Sutherland,TuiT.Sutherland,2014-01-10,English,5.9,,1.0,4,58,298
